ID,Species,Soil,Breaking_Point,Average_Max_Height,Clumps,Visual_Quality,Root_Quality_Scale,Most_Rep
17,Indiangrass,ProMix55BK,19.5,41,1,2,2,
29,Indiangrass,ProMix55BK,19.5,48.5,1,3,3,x
33,Indiangrass,ProMix55BK,16.5,47.5,2,3,4,
50,Indiangrass,ProMix55BK,19,37,2,3,3,
54,Indiangrass,ProMix55BK,19.5,39.5,3,4,4,
4,Indiangrass,NativeMix,17,34.5,3,2,3,
8,Indiangrass,NativeMix,15,39,3,2,2,
38,Indiangrass,NativeMix,25.5,46.5,1,3,4,
39,Indiangrass,NativeMix,16.5,33.5,2,2,2,x
48,Indiangrass,NativeMix,4.5,6.5,1,1,1,
12,Indiangrass,GardenMix,17.5,51.5,3,3,3,
28,Indiangrass,GardenMix,15,35,1,2,2,
31,Indiangrass,GardenMix,21.5,52,3,4,4,
45,Indiangrass,GardenMix,16,48,2,3,3,x
57,Indiangrass,GardenMix,13.5,37.5,3,3,3,
5,Indiangrass,ProMixBx,18,61.5,3,4,4,
10,Indiangrass,ProMixBx,16.5,56.5,2,4,4,
21,Indiangrass,ProMixBx,19.5,61.5,3,4,4,
32,Indiangrass,ProMixBx,19.5,54.5,2,4,4,x
52,Indiangrass,ProMixBx,17.5,41,2,3,3,
2,Sugarcane,ProMix55BK,40.5,68.5,2,3,4,
16,Sugarcane,ProMix55BK,46.5,72.5,2,3,4,
30,Sugarcane,ProMix55BK,49.5,69,3,3,4,
40,Sugarcane,ProMix55BK,46.5,63.5,2,3,4,x
60,Sugarcane,ProMix55BK,32,61.5,2,2,3,
6,Sugarcane,NativeMix,36.5,69.5,5,3,4,
24,Sugarcane,NativeMix,46.5,59.5,2,2,3,
25,Sugarcane,NativeMix,41,73.5,3,3,4,
42,Sugarcane,NativeMix,41.5,59.5,4,3,4,x
53,Sugarcane,NativeMix,33.5,56.5,2,2,3,
13,Sugarcane,GardenMix,46.5,92.5,1,4,4,
18,Sugarcane,GardenMix,49.5,73.5,2,3,4,
41,Sugarcane,GardenMix,36.5,58.5,1,2,3,
49,Sugarcane,GardenMix,33.5,49.5,1,2,3,
59,Sugarcane,GardenMix,49.5,69.5,2,3,4,x
9,Sugarcane,ProMixBx,59.5,73.5,4,3,4,
19,Sugarcane,ProMixBx,55.5,87.5,2,4,4,x
37,Sugarcane,ProMixBx,46.5,89.5,2,4,4,
43,Sugarcane,ProMixBx,54.5,88.5,2,3,4,
51,Sugarcane,ProMixBx,49.5,84.5,2,4,4,
1,Wiregrass,ProMix55BK,22,41.5,2,3,2,x
26,Wiregrass,ProMix55BK,15.5,38.5,2,4,2,
27,Wiregrass,ProMix55BK,17.5,34.5,2,3,2,
44,Wiregrass,ProMix55BK,24.5,44.5,1,4,3,
58,Wiregrass,ProMix55BK,9.5,16.5,1,1,1,
14,Wiregrass,NativeMix,17.5,41,2,3,2,
15,Wiregrass,NativeMix,21.5,31.5,2,3,2,
34,Wiregrass,NativeMix,10.5,23.5,2,2,1,
36,Wiregrass,NativeMix,13.5,33,1,3,1,x
56,Wiregrass,NativeMix,14,19.5,1,1,1,
3,Wiregrass,GardenMix,23.5,43,3,4,2,
7,Wiregrass,GardenMix,18.5,39,2,3,3,
22,Wiregrass,GardenMix,18.2,38.5,3,3,2,x
35,Wiregrass,GardenMix,30,50,2,3,3,
47,Wiregrass,GardenMix,14,24.5,2,2,1,
11,Wiregrass,ProMixBx,28.5,47.5,2,4,4,
20,Wiregrass,ProMixBx,22.5,48.5,3,4,3,
23,Wiregrass,ProMixBx,15.5,28.5,1,2,1,
46,Wiregrass,ProMixBx,16.5,28.5,1,2,2,x
55,Wiregrass,ProMixBx,9.5,19.5,1,1,1,