ID,Species,Soil,Shoot_Weight,Root_Weight
1,Wiregrass,ProMix55BK,0.72,0.2
2,Sugarcane,ProMix55BK,9.69,14.4
3,Wiregrass,GardenMix,1.5,0.42
4,Indiangrass,NativeMix,0.95,1.23
5,Indiangrass,ProMixHP,5.22,5.2
6,Sugarcane,NativeMix,7.39,26.86
7,Wiregrass,GardenMix,0.54,0.48
8,Indiangrass,NativeMix,0.89,0.54
9,Sugarcane,ProMixHP,11.52,24.22
10,Indiangrass,ProMixHP,5.51,3.48
11,Wiregrass,ProMixHP,3.1,1.39
12,Indiangrass,GardenMix,2.7,3.18
13,Sugarcane,GardenMix,16.21,26.94
14,Wiregrass,NativeMix,0.59,0.24
15,Wiregrass,NativeMix,0.37,0.2
16,Sugarcane,ProMix55BK,9.03,13.89
17,Indiangrass,ProMix55BK,0.65,0.32
18,Sugarcane,GardenMix,8.47,16.89
19,Sugarcane,ProMixHP,17.9,34.41
20,Wiregrass,ProMixHP,2.24,0.585
21,Indiangrass,ProMixHP,8.03,12.56
22,Wiregrass,GardenMix,0.76,0.32
23,Wiregrass,ProMixHP,0.265,0.07
24,Sugarcane,NativeMix,2.21,3.9
25,Sugarcane,NativeMix,4.96,8.51
26,Wiregrass,ProMix55BK,1.17,0.39
27,Wiregrass,ProMix55BK,0.645,0.245
28,Indiangrass,GardenMix,0.9,0.58
29,Indiangrass,ProMix55BK,2.18,0.98
30,Sugarcane,ProMix55BK,8.29,7.93
31,Indiangrass,GardenMix,3.88,18.55
32,Indiangrass,ProMixHP,5.53,6.18
33,Indiangrass,ProMix55BK,1.99,1.11
34,Wiregrass,NativeMix,0.25,0.11
35,Wiregrass,GardenMix,1.63,0.47
36,Wiregrass,NativeMix,0.45,0.13
37,Sugarcane,ProMixHP,15.26,35.05
38,Indiangrass,NativeMix,3.42,8.39
39,Indiangrass,NativeMix,0.67,0.27
40,Sugarcane,ProMix55BK,5.69,5.52
41,Sugarcane,GardenMix,5.98,2.41
42,Sugarcane,NativeMix,6.1,18.55
43,Sugarcane,ProMixHP,11.69,20.21
44,Wiregrass,ProMix55BK,1.255,0.36
45,Indiangrass,GardenMix,2.17,3.6
46,Wiregrass,ProMixHP,0.25,0.11
47,Wiregrass,GardenMix,0.3,0.1
48,Indiangrass,NativeMix,0.01,0.03
49,Sugarcane,GardenMix,3.09,2.75
50,Indiangrass,ProMix55BK,1.08,0.72
51,Sugarcane,ProMixHP,12.4,33.1
52,Indiangrass,ProMixHP,1.7,0.85
53,Sugarcane,NativeMix,2.33,2.56
54,Indiangrass,ProMix55BK,2.79,2.78
55,Wiregrass,ProMixHP,0.155,0.02
56,Wiregrass,NativeMix,0.12,0.06
57,Indiangrass,GardenMix,2.54,2.24
58,Wiregrass,ProMix55BK,0.06,0.02
59,Sugarcane,GardenMix,8.37,19.73
60,Sugarcane,ProMix55BK,4.2,4.44