Species,County,Herbaria
Aristida stricta,Alachua,FLAS
Aristida stricta,Baker,FLAS
Aristida stricta,Bay,USF
Aristida stricta,Bradford,FLAS
Aristida stricta,Brevard,USF
Aristida stricta,Calhoun,USF
Aristida stricta,Charlotte,USF
Aristida stricta,Citrus,USF
Aristida stricta,Clay,FLAS
Aristida stricta,Collier,USF
Aristida stricta,Columbia,FLAS
Aristida stricta,DeSoto,USF
Aristida stricta,Dixie,FLAS
Aristida stricta,Duval,USF
Aristida stricta,Escambia,USF
Aristida stricta,Franklin,FLAS
Aristida stricta,Gadsden,FSU
Aristida stricta,Gilchrist,FLAS
Aristida stricta,Gulf,FSU
Aristida stricta,Hamilton,FLAS
Aristida stricta,Hardee,USF
Aristida stricta,Hernando,USF
Aristida stricta,Hernando,Lit
Aristida stricta,Highlands,USF
Aristida stricta,Hillsborough,USF
Aristida stricta,Holmes,FSU
Aristida stricta,Indian River,USF
Aristida stricta,Jackson,FSU
Aristida stricta,Jefferson,FSU
Aristida stricta,Lafayette,Lit
Aristida stricta,Lake,USF
Aristida stricta,Lee,USF
Aristida stricta,Leon,USF
Aristida stricta,Levy,USF
Aristida stricta,Liberty,FSU
Aristida stricta,Madison,USF
Aristida stricta,Manatee,USF
Aristida stricta,Marion,USF
Aristida stricta,Martin,USF
Aristida stricta,Miami-Dade,FLAS
Aristida stricta,Nassau,USF
Aristida stricta,Okaloosa,FLAS
Aristida stricta,Orange,USF
Aristida stricta,Osceola,USF
Aristida stricta,Palm Beach,FLAS
Aristida stricta,Pasco,USF
Aristida stricta,Pinellas,USF
Aristida stricta,Polk,USF
Aristida stricta,Putnam,USF
Aristida stricta,Santa Rosa,USF
Aristida stricta,Santa Rosa,Lit
Aristida stricta,Sarasota,USF
Aristida stricta,Seminole,USF
Aristida stricta,St. Johns,FLAS
Aristida stricta,Sumter,USF
Aristida stricta,Suwannee,FLAS
Aristida stricta,Taylor,FSU
Aristida stricta,Union,USF
Aristida stricta,Volusia,USF
Aristida stricta,Wakulla,FLAS
Aristida stricta,Walton,USF
Aristida stricta,Washington,USF
Saccharum giganteum,Alachua,FLAS
Saccharum giganteum,Bay,FLAS
Saccharum giganteum,Bradford,FLAS
Saccharum giganteum,Brevard,USF
Saccharum giganteum,Broward,USF
Saccharum giganteum,Calhoun,USF
Saccharum giganteum,Charlotte,USF
Saccharum giganteum,Clay,USF
Saccharum giganteum,Collier,USF
Saccharum giganteum,Columbia,FLAS
Saccharum giganteum,DeSoto,USF
Saccharum giganteum,Dixie,USF
Saccharum giganteum,Duval,FLAS
Saccharum giganteum,Escambia,UWFP
Saccharum giganteum,Flagler,USF
Saccharum giganteum,Franklin,USF
Saccharum giganteum,Gadsden,FSU
Saccharum giganteum,Gilchrist,USF
Saccharum giganteum,Glades,USF
Saccharum giganteum,Gulf,FSU
Saccharum giganteum,Hamilton,FLAS
Saccharum giganteum,Hardee,USF
Saccharum giganteum,Hendry,USF
Saccharum giganteum,Hernando,USF
Saccharum giganteum,Highlands,USF
Saccharum giganteum,Hillsborough,USF
Saccharum giganteum,Holmes,USF
Saccharum giganteum,Indian River,USF
Saccharum giganteum,Jackson,FSU
Saccharum giganteum,Jefferson,FSU
Saccharum giganteum,Lafayette,USF
Saccharum giganteum,Lake,USF
Saccharum giganteum,Lee,USF
Saccharum giganteum,Leon,FSU
Saccharum giganteum,Levy,FLAS
Saccharum giganteum,Liberty,FSU
Saccharum giganteum,Madison,USF
Saccharum giganteum,Manatee,USF
Saccharum giganteum,Marion,USF
Saccharum giganteum,Martin,USF
Saccharum giganteum,Miami-Dade,USF
Saccharum giganteum,Monroe Mainland,FNPS
Saccharum giganteum,Nassau,FSU
Saccharum giganteum,Okaloosa,FLAS
Saccharum giganteum,Okeechobee,USF
Saccharum giganteum,Orange,USF
Saccharum giganteum,Osceola,FLAS
Saccharum giganteum,Palm Beach,USF
Saccharum giganteum,Pasco,USF
Saccharum giganteum,Pinellas,USF
Saccharum giganteum,Polk,USF
Saccharum giganteum,Putnam,FLAS
Saccharum giganteum,Santa Rosa,USF
Saccharum giganteum,Sarasota,USF
Saccharum giganteum,Seminole,MICH-Lit
Saccharum giganteum,St. Johns,USF
Saccharum giganteum,St. Lucie,USF
Saccharum giganteum,Sumter,USF
Saccharum giganteum,Suwannee,USF
Saccharum giganteum,Taylor,USF
Saccharum giganteum,Volusia,USF
Saccharum giganteum,Wakulla,USF
Saccharum giganteum,Walton,FLAS
Saccharum giganteum,Washington,USF
Sorghastrum secundum,Bay,USF
Sorghastrum secundum,Brevard,USF
Sorghastrum secundum,Broward,USF
Sorghastrum secundum,Charlotte,USF
Sorghastrum secundum,Citrus,USF
Sorghastrum secundum,Clay,USF
Sorghastrum secundum,Collier,USF
Sorghastrum secundum,Columbia,FLAS
Sorghastrum secundum,DeSoto,USF
Sorghastrum secundum,Dixie,FLAS
Sorghastrum secundum,Duval,USF
Sorghastrum secundum,Escambia,USF
Sorghastrum secundum,Flagler,USF
Sorghastrum secundum,Franklin,FSU
Sorghastrum secundum,Gadsden,FSU
Sorghastrum secundum,Gilchrist,FLAS
Sorghastrum secundum,Glades,FLAS
Sorghastrum secundum,Gulf,FSU
Sorghastrum secundum,Hamilton,FLAS
Sorghastrum secundum,Hardee,FLAS
Sorghastrum secundum,Hernando,USF
Sorghastrum secundum,Highlands,USF
Sorghastrum secundum,Hillsborough,USF
Sorghastrum secundum,Holmes,USF
Sorghastrum secundum,Indian River,FLAS
Sorghastrum secundum,Jackson,FSU
Sorghastrum secundum,Lake,USF
Sorghastrum secundum,Lee,USF
Sorghastrum secundum,Leon,FSU
Sorghastrum secundum,Levy,FLAS
Sorghastrum secundum,Liberty,FLAS
Sorghastrum secundum,Madison,FSU
Sorghastrum secundum,Manatee,USF
Sorghastrum secundum,Marion,FLAS
Sorghastrum secundum,Martin,USF
Sorghastrum secundum,Miami-Dade,USF
Sorghastrum secundum,Monroe Keys,FLAS
Sorghastrum secundum,Nassau,FSU
Sorghastrum secundum,Okaloosa,FSU
Sorghastrum secundum,Okeechobee,USF
Sorghastrum secundum,Orange,FLAS
Sorghastrum secundum,Osceola,USF
Sorghastrum secundum,Pasco,USF
Sorghastrum secundum,Pinellas,USF
Sorghastrum secundum,Polk,USF
Sorghastrum secundum,Putnam,USF
Sorghastrum secundum,Santa Rosa,FSU
Sorghastrum secundum,Sarasota,USF
Sorghastrum secundum,Seminole,USF
Sorghastrum secundum,St. Johns,USF
Sorghastrum secundum,Sumter,USF
Sorghastrum secundum,Suwannee,FLAS
Sorghastrum secundum,Taylor,FSU
Sorghastrum secundum,Volusia,USF
Sorghastrum secundum,Wakulla,FSU
Sorghastrum secundum,Walton,USF
Sorghastrum secundum,Washington,USF
Sorghastrum secundum,Washington,FSU